imdb_name_id,name,date_of_birth,amount of movies,gender
nm0319257,Claude Gillingwater,1870,3,actor
nm0231591,Evelyn Dumo,1888,1,actress
nm0933773,Lois Wilson,1894,6,actress
nm0798130,Milton Sills,1882,2,actor
nm0116050,Mathilde Brundage,1859,1,actress
nm0643048,Wheeler Oakman,1890,2,actor
nm0651515,Kaoru Osanai,1881,1,actor
nm0768025,Haruko Sawamura,1901,1,actress
nm0516001,Harold Lloyd,1893,18,actor
nm0205192,Mildred Davis,1901,4,actress
nm0726256,Johannes Riemann,1888,1,actor
nm0692612,Edith Posca,1892,2,actress
nm0466232,Arnold Korff,1870,1,actor
nm0477519,Lulu Kyser-Korff,,1,actress
nm0101071,John Bowers,1885,2,actor
nm0099694,Armand Bour,1868,1,actor
nm0018885,René Alexandre,1885,1,actor
nm0579663,Adolphe Menjou,1890,33,actor
nm0040090,Gertrude Astor,1887,1,actress
nm0401368,Gladys Hulette,1896,2,actress
nm0129894,Louis Calhern,1895,6,actor
nm0934780,Claire Windsor,1892,1,actress
nm0091415,Hermann Böttcher,1866,1,actor
nm0865438,Carola Toelle,1893,1,actress
nm0741022,Rosa Rosanova,1869,1,actress
nm0460337,Eugen Klöpfer,1886,3,actor
nm0639631,John B. O'Brien,1884,1,actor
nm0299674,Maurice de Féraudy,1859,1,actor
nm0653425,Félix Oudart,1881,1,actor
nm0690702,Clara Pontoppidan,1883,2,actress
nm0582544,Svend Methling,1891,1,actor
nm0043342,Gine Avril,1894,1,actress
nm0731054,Edith Roberts,1899,1,actress
nm0160129,Rudolph Christians,1869,1,actor
nm0243323,Miss DuPont,1894,1,actress
nm0720707,Adele Reuter-Eichberg,,1,actress
nm0301146,Vladimir Gajdarov,1893,1,actor
nm0737259,Will Rogers,1879,11,actor
nm0580609,Lois Meredith,1890,1,actress
nm0068705,Madge Bellamy,1899,4,actress
nm0560785,Arthur Maude,1880,1,actor
nm0679907,Mary Philbin,1902,4,actress
nm0318105,John Gilbert,1897,22,actor
nm0852347,Estelle Taylor,1894,1,actress
nm0198272,Dorothy Dalton,1893,1,actress
nm0109669,Charles Brinley,1880,1,actor
nm0775180,Max Schreck,1879,1,actor
nm0334603,Alexander Granach,1893,3,actor
nm0001067,Jackie Coogan,1914,4,actor
nm0546121,James A. Marcus,1867,1,actor
nm0002154,Alfred Abel,1879,3,actor
nm0723801,Frida Richard,1873,1,actress
nm0623417,Alla Nazimova,1879,1,actress
nm0207637,Nigel De Brulier,1877,1,actor
nm0619261,Conrad Nagel,1897,18,actor
nm0347520,Max Gülstorff,1882,1,actor
nm0521310,Frank Losee,1856,1,actor
nm0950019,Roland Young,1887,10,actor
nm0594291,Tom Mix,1880,4,actor
nm0531759,J. Farrell MacDonald,1875,3,actor
nm0717849,Georg Reimers,1860,1,actor
nm0400763,Lloyd Hughes,1897,4,actor
nm0598902,Bull Montana,1887,1,actor
nm0938923,Anna May Wong,1905,9,actress
nm0363218,Kenneth Harlan,1895,1,actor
nm0002118,Alan Hale,1892,2,actor
nm0107574,Evelyn Brent,1899,12,actress
nm0932588,Louis Willoughby,1876,1,actor
nm0370351,Wanda Hawley,1895,1,actress
nm0923377,Ruth Weyher,1901,2,actress
nm0647481,Gertrude Olmstead,1897,3,actress
nm0537222,Léon Mathot,1886,1,actor
nm0544539,Gina Manès,1893,1,actress
nm0449857,J. Warren Kerrigan,1879,1,actor
nm0036967,Gustav Aronson,,1,actor
nm0073906,Stina Berg,1869,1,actress
nm0774563,Sven Scholander,1860,1,actor
nm0504109,Gladys Leslie,1899,1,actress
nm0589105,Patsy Ruth Miller,1904,4,actress
nm0139862,Stephen Carr,1906,1,actor
nm0000036,Buster Keaton,1895,19,actor
nm0848231,Natalie Talmadge,1896,1,actress
nm0158103,Gregori Chmara,1893,2,actor
nm1871384,Elisabeta Skulskaja,,1,actress
nm0088476,Holbrook Blinn,1872,3,actor
nm0336414,Gabriel de Gravone,1887,1,actor
nm0536252,Pierre Magnier,1869,2,actor
nm0408937,Lloyd Ingraham,1874,1,actor
nm0543169,Lucie Mannheim,1899,3,actress
nm0885128,Virginia Valli,1896,4,actress
nm0090187,Eleanor Boardman,1898,5,actress
nm0562866,Frank Mayo,1886,2,actor
nm0249703,Anton Edthofer,1883,1,actor
nm0250790,Aud Egede-Nissen,1893,1,actress
nm0211191,Charles de Rochefort,1879,1,actor
nm0494993,Margaret Leahy,1902,1,actress
nm0172903,Ronald Colman,1891,32,actor
nm0601596,Matt Moore,1888,2,actor
nm0707814,Jobyna Ralston,1899,7,actress
nm0312238,Clarence Geldart,1865,1,actor
nm0912478,H.B. Warner,1876,5,actor
nm0813216,Yuliya Solntseva,1901,2,actress
nm0407970,Igor Ilyinsky,1901,8,actor
nm0358076,Neil Hamilton,1899,13,actor
nm0000802,Mary Astor,1906,28,actress
nm0341464,Corinne Griffith,1894,4,actress
nm0853604,Conway Tearle,1878,7,actor
nm0045133,Baby Peggy,1918,2,actress
nm0227089,William Dills,1878,1,actor
nm0885597,Albert Van Antwerp,1897,1,actor
nm0484856,Winifred Landis,1872,1,actress
nm0709856,Anders Randolf,1870,1,actor
nm0564219,May McAvoy,1899,3,actress
nm0381642,Catherine Hessling,1900,3,actress
nm0165165,Charlotte Clasis,1891,1,actress
nm0160130,Mady Christians,1892,3,actress
nm0790454,Norma Shearer,1902,23,actress
nm0540771,Léonid Walter de Malte,,1,actor
nm0639563,George O'Brien,1899,16,actor
nm0217848,Maly Delschaft,1898,2,actress
nm0601962,Tom Moore,1883,2,actor
nm0089524,Monte Blue,1887,3,actor
nm0805790,Walter Slezak,1902,7,actor
nm0570230,Kathryn McGuire,1903,2,actress
nm0688040,Porfiri Podobed,1886,1,actor
nm0055823,Boris Barnet,1902,1,actor
nm0778159,Margarete Schön,1895,2,actress
nm0036459,Gertrud Arnold,1873,1,actress
nm0725332,Paul Richter,1895,1,actor
nm0199087,Viola Dana,1897,2,actress
nm0332135,Jetta Goudal,1891,3,actress
nm0815054,Alexandra Sorina,1899,1,actress
nm0553331,Charles Martinelli,,1,actor
nm0989809,Louis Pré Fils,1884,1,actor
nm0111503,Betty Bronson,1906,3,actress
nm0868458,Ernest Torrence,1878,7,actor
nm0003895,Ramon Novarro,1899,16,actor
nm0071746,Enid Bennett,1893,2,actress
nm0017893,Grigoriy Aleksandrov,1903,1,actor
nm0795500,Maksim Shtraukh,1900,2,actor
nm0426710,Julanne Johnston,1900,1,actress
nm0111612,Clive Brook,1887,16,actor
nm0607174,James Morrison,1888,1,actor
nm0362361,Lyn Harding,1867,3,actor
nm0012395,Renée Adorée,1898,6,actress
nm0732079,Paul Robeson,1898,9,actor
nm0737074,Marshall Rogers,1891,1,actor
nm0478942,Rod La Rocque,1898,8,actor
nm0723678,Lillian Rich,1900,1,actress
nm0031446,Aleksandr Antonov,1898,3,actor
nm0058290,Vladimir Barskiy,1889,1,actor
nm0570006,Malcolm McGregor,1892,2,actor
nm0863833,Rin Tin Tin,1918,1,actor
nm2331547,Nanette,,1,actress
nm0620519,Nita Naldi,1894,1,actress
nm0567798,Jack McDonald,1880,1,actor
nm0583207,Johannes Meyer,1884,4,actor
nm0391474,Astrid Holm,1893,1,actress
nm0126566,Vilma Bánky,1898,4,actress
nm0699522,Albert Préjean,1894,11,actor
nm0590557,Sandra Milovanoff,1892,3,actress
nm0695078,Marcelle Pradot,1901,1,actress
nm0001256,Greta Garbo,1905,24,actress
nm3152290,Shigeru Mokudo,1901,1,actor
nm0875316,Mineko Tsuji,,1,actress
nm0803070,Einar Sissener,1897,1,actor
nm0854396,Tove Tellback,1899,1,actress
nm0874124,Howard Truesdale,1861,1,actor
nm0841501,Mack Swain,1876,1,actor
nm0237571,Louise Dresser,1878,4,actress
nm0332998,Gibson Gowland,1877,1,actor
nm0686032,Zasu Pitts,1894,12,actress
nm0286120,Jean Forest,1912,2,actor
nm0635615,Rolla Norman,1889,1,actor
nm0797205,Pedro Sienna,1893,1,actor
nm0921619,Clara Werther,,1,actress
nm0723658,Irene Rich,1891,3,actress
nm0531962,Wallace MacDonald,1891,1,actor
nm0354313,William Haines,1900,20,actor
nm0000073,Shirley Temple,1928,28,actress
nm0000859,Lionel Barrymore,1878,43,actor
nm0697800,Aileen Pringle,1895,2,actress
nm0051765,Tsumasaburô Bandô,1901,1,actor
nm0782837,Misao Seki,1884,1,actor
nm0001966,Clara Bow,1905,16,actress
nm0445229,Donald Keith,1903,2,actor
nm0341586,Raymond Griffith,1895,2,actor
nm0017488,Mary Alden,1883,1,actress
nm0313867,Carmelita Geraghty,1901,2,actress
nm0470307,Henry Krauss,1866,1,actor
nm0053639,Charlotte Barbier-Krauss,1877,1,actress
nm0222489,Seeta Devi,1912,2,actress
nm0706795,Himanshu Rai,1892,3,actor
nm0864559,Lydia Yeamans Titus,1857,1,actress
nm0094924,Priscilla Bonner,1899,2,actress
nm0048798,Nellie Bly Baker,1893,1,actress
nm0050849,Mabel Ballin,1887,1,actress
nm0771584,Joseph Schildkraut,1896,4,actor
nm0001211,W.C. Fields,1880,19,actor
nm0000909,Constance Bennett,1904,27,actress
nm0001076,Joan Crawford,1904,64,actress
nm0037761,George K. Arthur,1899,2,actor
nm0354913,Georgia Hale,1900,1,actress
nm0245536,Ruth Dwyer,1898,1,actress
nm0090029,Betty Blythe,1893,2,actress
nm0085877,Carlyle Blackwell,1884,1,actor
nm0626879,Eugen Neufeld,1882,1,actor
nm0002379,Hans Moser,1880,4,actor
nm0336770,Lawrence Gray,1898,7,actor
nm0071602,Belle Bennett,1891,5,actress
nm0123994,Mae Busch,1891,1,actress
nm0228715,Richard Dix,1893,35,actor
nm0898489,Victor Vina,1885,1,actor
nm0204483,Dolly Davis,1896,1,actress
nm0127120,Jean Börlin,1893,1,actor
nm0245386,Dorothy Dwan,1906,2,actress
nm0614879,Charles Murray,1872,1,actor
nm0156173,George Chesebro,1888,1,actor
nm0914867,Roy Watson,1876,1,actor
nm0532956,Charles Emmett Mack,1895,1,actor
nm0955718,Olga Zhizneva,1899,3,actress
nm0470382,Arthur Kraußneck,1856,1,actor
nm0367111,Paul Hartmann,1889,3,actor
nm0073239,George Beranger,1893,1,actor
nm0381285,Charles Herzinger,1864,1,actor
nm0250366,Snitz Edwards,1868,1,actor
nm0177386,Caroline Frances Cooke,1875,1,actress
nm0152260,Syd Chaplin,1885,1,actor
nm0603875,Antonio Moreno,1887,3,actor
nm0235521,Billie Dove,1903,3,actress
nm0310980,Janet Gaynor,1906,19,actress
nm0125749,Aase Bye,1904,1,actress
nm0778024,Gunhild Schytte-Jacobsen,,1,actress
nm0431484,Alice Joyce,1890,4,actress
nm0936079,Jane Winton,1905,1,actress
nm0733943,John Roche,1893,1,actor
nm0101955,William Boyd,1895,75,actor
nm0510389,Beatrice Lillie,1894,2,actress
nm0252472,Gösta Ekman,1890,3,actor
nm0096152,Olive Borden,1906,4,actress
nm0633260,Marian Nixon,1904,6,actress
nm0726166,Leni Riefenstahl,1902,7,actress
nm0872112,Luis Trenker,1892,5,actor
nm0003377,Harry Langdon,1884,8,actor
nm0455592,Natalie Kingston,1905,1,actress
nm0000315,Louise Brooks,1906,6,actress
nm0134662,Eddie Cantor,1892,13,actor
nm0409298,Masuo Inoue,1881,1,actor
nm0407347,Ayako Iijima,,1,actress
nm0385062,June Tripp,1901,1,actress
nm0637040,Ivor Novello,1893,3,actor
nm0345436,Umberto Guarracino,,1,actor
nm0032105,Apollon Uni,1862,1,actor
nm0636781,Álex Nova,,1,actor
nm0053012,Vera Baranovskaya,1885,3,actress
nm0060693,Nikolay Batalov,1899,3,actor
nm0375609,Brigitte Helm,1906,6,actress
nm0321712,Natalya Glan,1904,1,actress
nm1669630,Hovhannes Abelyan,1865,1,actor
nm0013184,Hasmik Agopyan,1879,1,actress
nm0504562,Pierre Lestringuez,1889,1,actor
nm0044024,Randle Ayrton,1869,1,actor
nm0268190,Charles Farrell,1900,15,actor
nm0707803,Esther Ralston,1902,6,actress
nm0451747,Aleksandra Khokhlova,1897,1,actress
nm0464561,Sergey Komarov,1891,2,actor
nm0699133,Nikolai Prozorovsky,1905,1,actor
nm0602914,Lois Moran,1909,4,actress
nm0092128,Michael Bohnen,1887,1,actor
nm0240646,Huguette Duflos,1887,1,actress
nm0182537,Dolores Costello,1903,8,actress
nm0272059,Leslie Fenton,1902,2,actor
nm0947579,Antonina Eremeeva,,1,actress
nm0302285,Emil Gal,1898,2,actor
nm0568282,Claire McDowell,1877,1,actress
