production company,order,number of movies
starvision plus,447,17
annapurna pictures,448,17
lotus production,449,17
société des etablissements l. gaumont,450,16
d.w. griffith productions,451,16
goskino,452,16
british national films,453,16
rko pathé pictures,454,16
société nouvelle de cinématographie (snc),455,16
clasa films mundiales,456,16
cinematográfica calderón s.a.,457,16
cineriz,458,16
william castle productions,459,16
warwick film productions,460,16
vides cinematografica,461,16
marimark productions,462,16
association coopérative des productions audio-visuelles (acpav),463,16
lorimar film entertainment,464,16
union film,465,16
china film co-production corporation,466,16
svt drama,467,16
overseas filmgroup,468,16
diler & associados,469,16
boje buck produktion,470,16
asa film produktion aps,471,16
edko films,472,16
fine line features,473,16
rysher entertainment,474,16
caravan pictures,475,16
morena films,476,16
allegro film,477,16
b.o.b. and partners,478,16
afoi roussopoulloi,479,16
allfilm,480,16
lemming film,481,16
a private view,482,16
media pro pictures,483,16
rat pack filmproduktion,484,16
nordisk film production,485,16
ts productions,486,16
avex entertainment,487,16
percept picture company,488,16
asatsu-dk,489,16
anonymous content,490,16
balaji motion pictures,491,16
ags entertainment,492,16
arrowstorm entertainment,493,16
viacom18 motion pictures,494,16
topkapi films,495,16
bryan foy productions,496,15
george h. brown productions,497,15
aubrey schenck productions,498,15
ceskoslovenský státní film,499,15
independent artists,500,15
bing crosby productions,501,15
batjac productions,502,15
jerry wald productions,503,15
galatea film,504,15
comptoir français du film production (cffp),505,15
fair film,506,15
devon film,507,15
the malpaso company,508,15
cinemaster s.r.l.,509,15
saner film,510,15
seasonal film corporation,511,15
sigma film productions,512,15
amblin entertainment,513,15
goldcrest films international,514,15
atlantic entertainment group,515,15
first floor features,516,15
omega entertainment,517,15
trans world entertainment (twe),518,15
el deseo,519,15
cinemaundici,520,15
sunrise,521,15
irs media,522,15
alter films,523,15
glass eye pix,524,15
bos bros. film & tv productions,525,15
icon entertainment international,526,15
vega film,527,15
senator film produktion,528,15
american world pictures (awp),529,15
mystique films inc.,530,15
deutsche film- und fernsehakademie berlin (dffb),531,15
aleph media,532,15
filmfour,533,15
bnt,534,15
hbo films,535,15
cinema service,536,15
coop99 filmproduktion,537,15
annapurna studios,538,15
akson studio,539,15
bob film sweden ab,540,15
huayi brothers media,541,15
aoi promotion,542,15
production i.g.,543,15
graal,544,15
amazon studios,545,15
stage 6 films,546,15
press on features,547,15
chukyo tv broadcasting company (ctv),548,15
kinorama,549,15
joseph m. schenck productions,550,14
herbert wilcox productions,551,14
nouvelles éditions de films (nef),552,14
excelsa film,553,14
british lion film corporation,554,14
nat holt productions,555,14
roger corman productions,556,14
seven arts productions,557,14
woodfall film productions,558,14
