imdb_name_id,name,amount of movies
nm0942862,Tenny Wright,2
nm0049462,Béla Balázs,1
nm0552871,Paul Martin,3
nm0580017,William Cameron Menzies,9
nm0890085,Marcel Varnel,18
nm0401680,H. Bruce Humberstone,29
nm0002165,Marc Allégret,13
nm0614225,Dudley Murphy,4
nm0020522,Fred Allen,2
nm0792514,Lowell Sherman,7
nm0435563,Mikhail Kalatozov,6
nm0942611,Mack V. Wright,8
nm0363414,Hugh Harman,2
nm0411208,Rudolf Ising,2
nm0769585,Armand Schaefer,8
nm0731596,Stephen Roberts,9
nm0861703,Richard Thorpe,80
nm0240201,Slatan Dudow,1
nm0083900,Samuel Bischoff,1
nm0066247,Ford Beebe,25
nm0128715,Edward L. Cahn,36
nm0282549,James Flood,5
nm0637790,Elliott Nugent,27
nm0896533,Charles Vidor,25
nm0107854,Howard Bretherton,19
nm0445033,William Keighley,37
nm0071560,Spencer Gordon Bennet,24
nm0681635,Irving Pichel,26
nm0621540,Mikio Naruse,39
nm0614634,Ralph Murphy,6
nm0425049,Emory Johnson,1
nm0285962,Walter Forde,12
nm0292134,Harry L. Fraser,7
nm0355284,Alexander Hall,28
nm0926171,Phil Whitman,2
nm0215874,Hampton Del Ruth,1
nm0184005,Albert de Courville,4
nm0712730,Albert Ray,2
nm0087704,Alessandro Blasetti,11
nm0762263,Mark Sandrich,18
nm0379092,Albert Herman,9
nm0485647,Sidney Lanfield,27
nm0533102,Willard Mack,1
nm0183018,José Cottinelli Telmo,1
nm0124571,Juan Bustillo Oro,4
nm0297414,Fernando de Fuentes,6
nm0730905,Charles E. Roberts,2
nm0547446,Edwin L. Marin,44
nm0270765,Felix E. Feist,14
nm0736778,Charley Rogers,3
nm0744954,Murray Roth,1
nm0767701,Victor Saville,24
nm0545730,Max Marcin,2
nm0561230,Humberto Mauro,1
nm0615868,Bernard Vorhaus,9
nm0403054,T. Hayes Hunter,1
nm0921195,Franz Wenzler,1
nm0921288,Alfred L. Werker,20
nm0394109,Arthur Hopkins,1
nm0826094,Hans Steinhoff,2
nm0154374,Charles Chauvel,4
nm0445862,Albert H. Kelley,3
nm0679283,Ramón Peón,1
