year,month,genre,duration,first country,second country,Is second country,first language,second language,Is second language,production company,budget,first actor age,first actor amount of movies,first actor gender,second actor age,second actor amount of movies,second actor gender,director amount of movies,average rating
1925.0,12.0,2046.0,78,1.0,-1.0,0,1.0,-1.0,0,3654.0,312000.0,61.0,6.0,1.0,22.0,2.0,2.0,1.0,6.5
1926.0,10.0,1107.0,95,1.0,-1.0,0,1.0,6.0,1,2.0,449000.0,41.0,1.0,1.0,24.0,2.0,1.0,20.0,6.3
1926.0,2.0,676.0,110,1.0,-1.0,0,1.0,-1.0,0,2.0,546000.0,21.0,1.0,2.0,33.0,1.0,1.0,16.0,7.0
1926.0,11.0,1193.0,77,1.0,-1.0,0,1.0,-1.0,0,1.0,260000.0,32.0,2.0,2.0,31.0,4.0,1.0,17.0,6.9
1927.0,2.0,1239.0,68,2.0,-1.0,0,0.0,-1.0,0,58.0,16653.598428,26.0,1.0,2.0,34.0,3.0,1.0,55.0,7.3
1927.0,10.0,1563.0,153,6.0,-1.0,0,6.0,-1.0,0,90.0,3660000.0,21.0,6.0,2.0,48.0,3.0,1.0,42.0,8.3
1926.0,6.0,1472.0,70,1.0,-1.0,0,1.0,-1.0,0,1.0,174728.0,43.0,24.0,1.0,17.0,4.0,2.0,21.0,6.6
1926.0,1.0,1472.0,115,1.0,-1.0,0,1.0,-1.0,0,1.0,430290.0,33.0,19.0,2.0,40.0,10.0,1.0,9.0,7.7
1926.0,1.0,31.0,136,1.0,-1.0,0,1.0,-1.0,0,2.0,503000.0,44.0,32.0,1.0,23.0,8.0,2.0,3.0,6.5
1926.0,7.0,1060.0,80,1.0,-1.0,0,1.0,-1.0,0,2.0,253000.0,39.0,3.0,1.0,22.0,4.0,2.0,39.0,7.0
1926.0,10.0,1557.0,90,1.0,-1.0,0,1.0,-1.0,0,451.0,971260.0,36.0,33.0,1.0,26.0,28.0,1.0,24.0,6.2
1926.0,10.0,1557.0,62,1.0,-1.0,0,1.0,-1.0,0,1.0,669000.0,21.0,24.0,2.0,39.0,3.0,1.0,10.0,6.9
1926.0,2.0,1557.0,88,1.0,-1.0,0,1.0,-1.0,0,106.0,250000.0,26.0,28.0,1.0,21.0,24.0,2.0,7.0,6.9
1926.0,5.0,1557.0,120,1.0,-1.0,0,1.0,-1.0,0,1375.0,497356.0,31.0,75.0,1.0,23.0,1.0,2.0,41.0,6.6
1927.0,5.0,1557.0,90,1.0,-1.0,0,1.0,-1.0,0,1.0,916000.0,34.0,19.0,2.0,33.0,6.0,1.0,13.0,5.9
1927.0,12.0,1063.0,118,1.0,-1.0,0,1.0,-1.0,0,1375.0,264397.0,28.0,2.0,2.0,36.0,5.0,1.0,2.0,7.1
1926.0,3.0,26.0,67,1.0,-1.0,0,1.0,-1.0,0,1144.0,750000.0,31.0,19.0,1.0,24.0,1.0,2.0,6.0,8.1
1927.0,2.0,1534.0,88,1.0,-1.0,0,1.0,-1.0,0,2.0,422000.0,41.0,7.0,1.0,28.0,3.0,2.0,16.0,6.5
1927.0,8.0,1557.0,75,1.0,-1.0,0,1.0,-1.0,0,1.0,187000.0,44.0,24.0,1.0,27.0,28.0,1.0,3.0,6.7
1927.0,3.0,1557.0,91,1.0,-1.0,0,1.0,2.0,1,1.0,267000.0,44.0,24.0,1.0,49.0,4.0,2.0,28.0,6.4
1927.0,10.0,1193.0,80,1.0,-1.0,0,1.0,-1.0,0,410.0,483103.0,35.0,29.0,2.0,23.0,5.0,1.0,17.0,7.4
1927.0,1.0,1193.0,74,1.0,-1.0,0,1.0,-1.0,0,106.0,539000.0,30.0,36.0,2.0,43.0,4.0,1.0,1.0,6.6
1927.0,1.0,1557.0,110,1.0,-1.0,0,1.0,-1.0,0,3660.0,1300000.0,21.0,19.0,2.0,27.0,15.0,1.0,49.0,7.6
1927.0,11.0,1557.0,106,1.0,-1.0,0,1.0,-1.0,0,1.0,1205000.0,28.0,16.0,1.0,25.0,23.0,2.0,39.0,7.6
