genre,number
documentary drama sport,1363
documentary drama thriller,1364
documentary drama war,1365
documentary drama western,1366
documentary family,1367
documentary family fantasy,1368
documentary family film-noir,1369
documentary family history,1370
documentary family horror,1371
documentary family music,1372
documentary family musical,1373
documentary family mystery,1374
documentary family romance,1375
documentary family sci-fi,1376
documentary family sport,1377
documentary family thriller,1378
documentary family war,1379
documentary family western,1380
documentary fantasy,1381
documentary fantasy film-noir,1382
documentary fantasy history,1383
documentary fantasy horror,1384
documentary fantasy music,1385
documentary fantasy musical,1386
documentary fantasy mystery,1387
documentary fantasy romance,1388
documentary fantasy sci-fi,1389
documentary fantasy sport,1390
documentary fantasy thriller,1391
documentary fantasy war,1392
documentary fantasy western,1393
documentary film-noir,1394
documentary film-noir history,1395
documentary film-noir horror,1396
documentary film-noir music,1397
documentary film-noir musical,1398
documentary film-noir mystery,1399
documentary film-noir romance,1400
documentary film-noir sci-fi,1401
documentary film-noir sport,1402
documentary film-noir thriller,1403
documentary film-noir war,1404
documentary film-noir western,1405
documentary history,1406
documentary history horror,1407
documentary history music,1408
documentary history musical,1409
documentary history mystery,1410
documentary history romance,1411
documentary history sci-fi,1412
documentary history sport,1413
documentary history thriller,1414
documentary history war,1415
documentary history western,1416
documentary horror,1417
documentary horror music,1418
documentary horror musical,1419
documentary horror mystery,1420
documentary horror romance,1421
documentary horror sci-fi,1422
documentary horror sport,1423
